sample_id,n_tls,n_non_tls,cxcl13_tls,cxcl13_non_tls,tls_signal_frac
GSM5924030_ffpe_c_2,404,4044,0.9541564583778381,0.18730004,0.3372755878113615
GSM5924031_ffpe_c_3,1283,3471,1.3518601655960083,1.0446961,0.3235541024508528
GSM5924032_ffpe_c_4,698,3131,0.41743507981300354,0.15963738,0.36826564760581537
GSM5924033_ffpe_c_7,587,4351,0.412156879901886,0.11670117,0.32270929470515153
GSM5924034_ffpe_c_10,1125,3609,0.15067873895168304,0.09296709,0.33564930888100025
GSM5924035_ffpe_c_20,103,4696,0.22134260833263397,0.07725654,0.0591249606228174
GSM5924036_ffpe_c_21,2,4879,0.0,0.24126983,0.0
GSM5924037_ffpe_c_34,482,2935,0.3601240813732147,0.2941467,0.16740259570251587
GSM5924038_ffpe_c_36,381,2824,0.4026744067668915,0.2833043,0.16090584937113303
GSM5924039_ffpe_c_39,343,4587,0.45784303545951843,0.23345986,0.12789114289269882
GSM5924040_ffpe_c_45,200,4339,1.5509756803512573,0.92267424,0.07190965314854604
GSM5924041_ffpe_c_51,452,3872,0.4186362326145172,0.1264126,0.2788057796695935
GSM5924042_frozen_a_1,4,1446,0.0,0.07387935,0.0
GSM5924043_frozen_a_3,8,1431,0.18068169057369232,0.016548486,0.05752742590465629
GSM5924044_frozen_a_15,203,1771,0.35042208433151245,0.12256368,0.24683094769754327
GSM5924045_frozen_a_17,0,1692,0.0,0.00739822,0.0
GSM5924046_frozen_b_1,115,1831,0.08197110891342163,0.036623687,0.123249277085201
GSM5924047_frozen_b_7,0,2370,0.0,0.020314282,0.0
GSM5924048_frozen_b_13,106,1569,0.20612302422523499,0.026896344,0.3411279236537066
GSM5924049_frozen_b_18,43,1143,0.4722644090652466,0.25977367,0.06401492396353411
GSM5924050_frozen_c_2,37,1123,0.3296476900577545,0.06679027,0.1398695402279815
GSM5924051_frozen_c_5,363,1624,0.2808755934238434,0.10495722,0.37428306714216775
GSM5924052_frozen_c_23,32,2495,0.23835840821266174,0.016718397,0.15459037812810147
GSM5924053_frozen_c_57,37,1039,0.5830727219581604,0.3768112,0.052226355229804865
